cultural group,context,goal,relation,actor,actor_behavior,recipient,recipient_behavior,other_descriptions,topic,agreement,num_support_bin,time_range,eval_whole_desc,eval_scenario,eval_persona,eval_question
American,visiting or living in Paris,,,individuals and tourists,"express mixed feelings, including both admiration and frustration, often due to cultural differences and personal experiences",,,"perception of Parisians varies, with some experiencing rudeness and others finding them friendly; Paris syndrome is also mentioned",Cultural Exchange,0.7,"[150, 160)","{2021: '[0, 10)', 2022: '[40, 50)', 2023: '[100, 110)'}","When American individuals and tourists visit or live in Paris, they often express a mix of feelings, encompassing both admiration and frustration. These emotions stem from encountering cultural differences and personal experiences within the city. The perception of Parisians varies among visitors, with some encountering perceived rudeness while others find them friendly. Additionally, the phenomenon of Paris syndrome is mentioned, indicating the potential psychological impact on some visitors. This mixed emotional response is considered relatively common among the sampled population, reflecting the diverse experiences and perspectives of individuals interacting with the Parisian culture.",Travel Advising,"A seasoned traveler planning a trip to Paris for the first time, eager to immerse themselves in the local culture but also aware of the potential for culture shock","I'm getting ready for my first trip to Paris and I've heard so many things about the city and its people. Some folks have mentioned feeling a bit overwhelmed by the pace of life there, while others have found it to be a really welcoming place. I want to make sure I'm prepared for whatever comes my way. Can you give me any tips on how to navigate the city and its unique customs so I can make the most of my visit?"
American,"in the United States, particularly in businesses and financial transactions",,,people and companies,frequent use of bank cheques and ACH system for payments,,,,Finance and Economy,0.6,"[150, 160)","{2021: '[0, 10)', 2022: '[100, 110)', 2023: '[30, 40)'}","In the United States, particularly in businesses and financial transactions, it is common for both individuals and companies to frequently utilize bank cheques and the ACH system for making payments. This practice is prevalent within the American cultural context, reflecting a significant portion of the sampled population's acceptance of these traditional payment methods. While electronic and digital payment options are also widely used, the continued reliance on bank cheques and the ACH system demonstrates a moderate level of normativity within the American cultural group.",Travel Advising,A seasoned European businessman planning a series of meetings with American partners and seeking to understand the financial customs in the US,I'm gearing up for a series of business meetings with partners in the US and I'm trying to get a sense of how things are usually done over there. I've been told that there are some specific ways of handling payments and transactions. Could you give me some insights on what to expect and how to prepare so that I don't accidentally put a foot wrong?
American,in public,,,people,"engage in alcohol consumption, often facing restrictions and legal consequences",,,"public drinking is generally discouraged or illegal, with exceptions in specific locations",Drinking and Alcohol,0.5,"[150, 160)","{2021: '[30, 40)', 2022: '[50, 60)', 2023: '[50, 60)'}","In public settings within American culture, it is not uncommon for people to engage in alcohol consumption, despite facing restrictions and potential legal consequences. However, public drinking is generally discouraged or even illegal, with specific locations being exceptions to this norm. This behavior is highly controversial among the sampled population, with a significant portion expressing disapproval or concern regarding public alcohol consumption.",Travel Advising,"A globetrotting businessman from Europe, planning a trip to the US for a series of corporate meetings and conferences, curious about social etiquettes in public settings","I'm heading to the US for a series of business meetings and I've heard that there are quite a few corporate events where alcohol is served. I'm not a big drinker, but I don't want to offend anyone or make a faux pas. Could you give me some tips on how to navigate these situations gracefully? I want to be respectful and enjoy the events, but I'm not sure what's considered normal or appropriate in this regard."
American,in the United States and abroad,,,people,"engage in diverse living experiences, including moving, living in multiple states, and living in other countries",,,,Migration and Cultural Adaptation,1.0,"[150, 160)","{2021: '[20, 30)', 2022: '[60, 70)', 2023: '[60, 70)'}","In the United States and abroad, it is common for people to engage in diverse living experiences, such as relocating within the country, living in multiple states, and even residing in other countries. This mobility and openness to varied living situations are widely regarded as a normative aspect of American culture, with a significant portion of the sampled population acknowledging and embracing this behavior. This inclination towards diverse living experiences reflects the dynamic and exploratory nature of a considerable portion of the American population.",Travel Advising,"A globetrotting American businessman planning a multi-city tour for a new job assignment, eager to explore the local living culture in each destination","I'm getting ready for a new job that involves traveling to several cities across the US. I've always been fascinated by the different ways people live and work in each place. How can I make the most of my time in these cities to not only do my job well, but also immerse myself in the local lifestyle? What are some tips for adapting quickly and making the most of my time in each new city?"
American,in the United States and globally,express pride and love for their country,,people,"express patriotism through various means, including flag display, use of flag emoji, and phrases like 'for our freedom'",,,associate patriotism with the US flag and a patriotic mindset,Community and Identity,1.0,"[150, 160)","{2021: '[30, 40)', 2022: '[70, 80)', 2023: '[30, 40)'}","In the United States and globally, it is common for people to express their patriotism through various means such as prominently displaying the American flag, using flag emojis, and using phrases like ""for our freedom."" These actions are aimed at expressing pride and love for their country, associating patriotism with the US flag and a patriotic mindset. This behavior is widely regarded as a normative and standard way of demonstrating national pride by a significant portion of the sampled population.",Travel Advising,"An American expatriate living in Europe, preparing to host a Fourth of July party for his European friends and colleagues","I'm planning a big Fourth of July celebration with my European friends and colleagues, and I want to make it feel really special. I'm thinking of putting up some decorations, but I'm not sure how to incorporate the American spirit without coming off as too over-the-top. What are some tasteful ways I can show my pride without making it seem like I'm trying too hard?"
American,Easter celebrations,,,"people, including children and mothers","engage in various traditions such as giving gift baskets, eating traditional food, and participating in egg hunts",,,Easter baskets are a common tradition in American culture,Cultural Traditions and Festivals,0.9,"[140, 150)","{2021: '[0, 10)', 2022: '[100, 110)', 2023: '[40, 50)'}","During Easter celebrations in American culture, people, including children and mothers, partake in various traditions such as giving gift baskets, enjoying traditional food, and engaging in egg hunts. The act of giving Easter baskets is particularly prevalent and is considered a common tradition within American society. This behavior is widely regarded as a normative practice by a significant portion of the sampled population. The Easter festivities reflect a shared cultural practice that brings together families and communities, emphasizing the importance of these traditions in American society.",Travel Advising,A curious and adventurous mother planning a family trip to the United States for the Easter holiday,I'm planning a family trip to the US for Easter and I'd love to make it special for my kids. I've heard about these local traditions like egg hunts and gift baskets. Could you give me some tips on how to fully embrace these customs and make sure my kids feel like they're part of the celebration?
American,moving within and to/from the United States,,,people,"engage in relocation, often expressing nostalgia or difficulty adjusting",,,includes confusion and challenges in adapting to new environments,Migration and Cultural Adaptation,0.9,"[140, 150)","{2021: '[20, 30)', 2022: '[70, 80)', 2023: '[50, 60)'}","When moving within or to/from the United States, it is common for individuals to express nostalgia or difficulty adjusting to their new environment. This relocation experience often includes feelings of confusion and challenges in adapting to the changes. The sampled population widely regards this behavior as a normative aspect of the American cultural experience. The expression of nostalgia and the struggles of adjusting to new surroundings are prevalent among a significant portion of the sampled population, reflecting the emotional and psychological impact of relocation within and to/from the United States.",Travel Advising,"A globetrotting expat from Europe who has recently moved to the US for work, finding himself frequently reminiscing about his hometown and struggling to adapt to the American way of life.","I've just moved to the States for work and I've been feeling quite homesick lately. It's been a bit of a challenge getting used to the pace of life here, and I can't help but miss my old neighborhood back in Europe. Have you had any clients who've felt this way when moving here? Any tips on how to make the transition smoother?"
American,in restaurants,express dissatisfaction and assert dominance,customer to service staff,customers,"express frustration through various means, including profanity, complaints, and demanding behavior",service staff,"experience confusion, annoyance, and sometimes compliance",influenced by perceptions of service quality and personal experiences,Social Interactions,0.4,"[140, 150)","{2021: '[20, 30)', 2022: '[50, 60)', 2023: '[60, 70)'}","In American restaurants, it is not uncommon for customers to express frustration through various means such as profanity, complaints, and demanding behavior towards the service staff. The goal behind this behavior is to assert dominance and convey dissatisfaction. In response, the service staff may experience confusion, annoyance, and at times comply with the demands. These actions are influenced by perceptions of service quality and personal experiences. However, this behavior is not widely regarded as normative among the sampled population, indicating that it is considered an unusual behavior by a significant portion of the population.",Travel Advising,"A seasoned American business traveler, known for their forthrightness and assertiveness in professional settings, who is planning a trip to Europe for a series of business meetings and is concerned about how their direct communication style might be perceived in a foreign context","I've always been pretty upfront about my needs when I'm traveling for work, but I've heard that Europeans can be a bit more reserved. I'm worried that my usual way of communicating might not go over so well. What are some tips for navigating these cultural differences without feeling like I'm holding back?"
American,in the United States and in American cuisine,,,people,"use ranch dressing as a popular condiment and sauce, especially in fast food and informal dining settings",,,"ranch dressing is considered a staple in American cuisine, often used on pizza, tacos, and as a dipping sauce",Food and Dining,0.9,"[140, 150)","{2021: '[50, 60)', 2022: '[70, 80)', 2023: '[10, 20)'}","In the United States and within American cuisine, it is common for people to use ranch dressing as a popular condiment and sauce, particularly in fast food and informal dining settings. This creamy dressing is considered a staple in American cuisine and is frequently utilized on items such as pizza, tacos, and as a dipping sauce. The widespread use of ranch dressing in various culinary applications reflects its high level of normativity within the sampled population, indicating that it is widely regarded as a standard and prevalent condiment in American food culture.",Travel Advising,"A globetrotting foodie from Europe, curious about the culinary scene in the US, planning a trip to explore the local food culture","I'm planning a food tour across the US, and I've heard that the casual dining scene here is quite a unique experience. Could you give me some tips on what to expect and maybe some local favorites that are a must-try? I'm really interested in getting a taste of the everyday American food culture, but I don't want to miss out on any iconic dishes."
American,in the United States,,,people,"prefer driving over walking due to limited walkability and distance, but also engage in walking for exercise or leisure",,,cities are not designed for pedestrians or cyclists; walking is discouraged in some areas,Social Norms and Etiquette,0.6,"[140, 150)","{2021: '[0, 10)', 2022: '[40, 50)', 2023: '[90, 100)'}","In the United States, it is common for people to prefer driving over walking due to limited walkability and long distances between destinations. However, they also engage in walking for exercise or leisure. The design of cities often discourages walking and cycling, contributing to the preference for driving. This behavior is influenced by the urban infrastructure and the vast geographical spread of the country. While a significant portion of the sampled population agrees with this preference for driving over walking, there is also a recognition of walking for recreational and health purposes.",Travel Advising,"A health-conscious and environmentally-aware tourist planning a trip to the United States, eager to explore the country's vibrant cities and natural landscapes, but concerned about the impact of their travel on their health and the environment","I'm planning a trip to the U.S. and I'm really excited to see all the beautiful cities and nature. I'm a big fan of walking and cycling back home, but I've heard that distances between places can be quite far. How can I balance my desire to explore the cities on foot with the realities of the urban design? Are there any cities or neighborhoods that are particularly pedestrian-friendly or have great bike paths? I want to make sure I'm being mindful of both my health and the environment during my trip."
American,dining and eating,,,people,"use a fork in a specific manner, often holding it in the right hand and using it as a knife when necessary",,,"preference for flavorful food, use of one-handed fork trick, and quick cut and eat in 2 motions",Social Norms and Etiquette,0.7,"[140, 150)","{2021: '[0, 10)', 2022: '[80, 90)', 2023: '[50, 60)'}","In American dining and eating settings, it is common for people to use a fork in a specific manner, typically holding it in the right hand and using it as a knife when necessary. This behavior is often accompanied by a preference for flavorful food and a technique known as the ""one-handed fork trick,"" where individuals quickly cut and eat in two motions. This approach to using a fork is regarded as a standard practice by a significant portion of the sampled population.",Travel Advising,"A European tourist planning their first trip to the United States, eager to explore American cuisine but unfamiliar with local dining etiquette",I'm really excited about my upcoming trip to the US and can't wait to try all the amazing food. I've heard that there are some unique dining experiences here. Could you give me some tips on how to navigate these experiences smoothly? I want to make sure I'm respecting local customs and not standing out too much as a tourist.
American,fruit consumption,"to preserve hygiene and taste, or for health benefits",,people,"generally prefer peeling fruit, but some individuals may eat it with the peel",,,"peeling fruit is seen as a common practice, but some consider it unnecessary or strange",Food and Dining,0.1,"[140, 150)","{2021: '[20, 30)', 2022: '[80, 90)', 2023: '[30, 40)'}","In the context of fruit consumption within American culture, it is common for people to prefer peeling fruit, although some individuals may choose to eat it with the peel intact. This behavior is often motivated by a desire to maintain hygiene and taste, or for perceived health benefits. While peeling fruit is generally seen as a common practice, there are some who view it as unnecessary or even strange. The sampled population indicates that the preference for peeling fruit is not widely regarded as a normative behavior, with a significant portion considering it unusual or controversial.",Travel Advising,"A curious and health-conscious traveler planning a trip to the United States, particularly interested in exploring the country's culinary scene but concerned about food safety and hygiene practices","I'm planning my first trip to the US and I'm really excited to try all the local fruits. I've heard that some people here are very particular about how they eat their fruit, even peeling it beforehand. I'm a bit of a germaphobe, so I'm wondering if this is a common practice and if there are any specific fruits or places where I should be more mindful about eating the peel or not?"
American,in the United States and grocery stores,,,people,"refer to chickpeas as 'chickpeas' or 'garbanzo beans', often using the term interchangeably",,,the term 'chickpeas' has been adopted from Hispanic language,Cultural Traditions and Festivals,0.9,"[130, 140)","{2021: '[130, 140)', 2022: '[0, 10)', 2023: '[0, 10)'}","In the United States, particularly in grocery stores, it is common for people to refer to chickpeas as either ""chickpeas"" or ""garbanzo beans"", often using the terms interchangeably. This behavior is widely accepted and considered normative within the sampled population. Interestingly, the term ""chickpeas"" has been adopted from Hispanic language, reflecting the influence of diverse cultural and linguistic elements within American society. The high level of acceptance and usage of both terms indicates that this linguistic flexibility is widely regarded as a standard practice among a significant portion of the sampled population in the United States.",Travel Advising,"A curious and health-conscious foodie from Europe planning their first trip to the US, eager to explore the diverse culinary scene but also keen on understanding local food labels and ingredients","I'm really excited to try out all the amazing food in the US, but I'm a bit confused about some of the ingredients I've seen on menus and in stores. For instance, I've seen 'chickpeas' and 'garbanzo beans' used interchangeably. Is this common in American cooking, and how do I make sure I'm getting the right thing when I'm shopping or ordering at a restaurant?"
American,grocery shopping and food consumption,,,"people, including grandmothers","engage in regular grocery shopping, often at specific stores or times, for daily or monthly needs, sometimes driven by convenience or necessity",,,"shopping can be stressful but also enjoyable, with a mix of traditional and modern practices",Consumer Behavior,0.9,"[130, 140)","{2021: '[10, 20)', 2022: '[30, 40)', 2023: '[80, 90)'}","In the context of grocery shopping and food consumption within American culture, it is common for people, including grandmothers, to engage in regular shopping trips, often at specific stores or times, to fulfill their daily or monthly needs. This behavior is driven by a mix of convenience and necessity, reflecting a blend of traditional and modern practices. While grocery shopping can be both stressful and enjoyable, it is widely regarded as a normative and standard practice within the sampled population. This indicates that a significant portion of the sampled population agrees that regular grocery shopping is a common and expected behavior among Americans.",Travel Advising,"A first-time visitor to the United States, hailing from a small town in Europe where grocery shopping is a less frequent occurrence, preparing for a month-long trip to explore the diverse culinary scene in various cities across the US","I'm planning a month-long trip across the US, and I'm really excited to try out all the amazing food I've heard so much about. I'm used to grocery shopping back home, but I've heard that people here do it a lot more often. Should I adjust my shopping habits while I'm there? What's the best way to plan my meals and shopping trips to make the most of my culinary adventure?"
American,in the United States,,,people and businesses,"navigate complex sales tax systems, including varying rates and expectations for tax inclusion in prices",,,"sales tax varies by state, county, and sometimes discretionarily, causing confusion and frustration",Finance and Economy,0.9,"[130, 140)","{2021: '[10, 20)', 2022: '[40, 50)', 2023: '[70, 80)'}","In the United States, both individuals and businesses are commonly observed navigating through the intricate sales tax systems, which encompass varying rates and expectations for tax inclusion in prices. This complexity arises from the fact that sales tax varies not only by state but also by county, and sometimes discretionarily, leading to confusion and frustration among the populace. Despite the challenges posed by this system, the majority of the sampled population considers this behavior normative, indicating that it is widely regarded as a common practice within American culture.",Travel Advising,"A foreign business owner planning to open a store in a new state in the US, aiming to price their products competitively while being compliant with local tax laws","I'm gearing up to launch my business in a new state here in the US, and I'm trying to figure out the best way to price my products. I've heard that taxes can vary quite a bit depending on where you are, even within the same state. I want to make sure I'm being competitive, but I also don't want to get into any trouble with the tax authorities. Could you give me some advice on how to navigate this? What are some common strategies or practices that businesses like mine typically use to handle this?"
American,"in the United States, particularly in homes",,,people,"use and customize window treatments, including blinds, shutters, and curtains, for various purposes such as blocking sunlight, allowing natural light, and privacy",,,preference for natural light and specific window treatments varies across regions,Household and Daily Life,0.9,"[130, 140)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[120, 130)'}","In the United States, particularly in homes, it is common for people to use and customize window treatments such as blinds, shutters, and curtains for various purposes like controlling sunlight and ensuring privacy. The preference for natural light and specific window treatments can vary across different regions. This practice of customizing window treatments is widely regarded as a standard behavior within the sampled population.",Travel Advising,"A homeowner in the Midwest planning a home renovation, keen on creating a comfortable living space that reflects the local lifestyle",I'm planning to renovate my home here in the Midwest and I'm curious about what locals usually do to make their homes feel really cozy and welcoming. I've heard that there are some unique ways people handle light and privacy in their homes. Could you share some insights on what I might want to consider for my own place?
American,in public and the United States,,,people,"engage in friendly behaviors like smiling and making small talk, with some noting hypocrisy",,,,Social Interactions,0.9,"[130, 140)","{2021: '[10, 20)', 2022: '[70, 80)', 2023: '[50, 60)'}","In public settings in the United States, it is common for people to engage in friendly behaviors such as smiling and making small talk. This sociable conduct is widely regarded as a normative aspect of American culture, with a significant portion of the sampled population acknowledging and participating in these friendly interactions. However, some individuals have noted a perceived element of hypocrisy in these behaviors, indicating a level of skepticism or reservation towards the genuineness of these friendly gestures. Despite this, the sampled population generally considers these friendly behaviors as commonplace within American culture.",Travel Advising,"A reserved and introverted traveler from Europe, planning their first trip to the United States for a business conference","I'm a bit of a private person and I'm heading to the States for a conference soon. I've heard that Americans are quite friendly, but I'm not sure how to navigate all these social interactions. Should I be worried about feeling out of place if I'm not as chatty as everyone else? Any tips on how to blend in without feeling overwhelmed?"
American,living or visiting Italy,,,individuals and people,"experience culture shock, express frustration, and adjust to cultural differences",,,difficulty adjusting to new cultural norms and forgetting cultural differences,Migration and Cultural Adaptation,0.8,"[130, 140)","{2021: '[0, 10)', 2022: '[40, 50)', 2023: '[80, 90)'}","When Americans live or visit Italy, it is common for individuals to experience culture shock, express frustration, and work on adjusting to the cultural differences. This process often involves difficulty in adapting to new cultural norms and occasionally forgetting about the cultural disparities. Such reactions are widely regarded as a normative response by a significant portion of the sampled population.",Travel Advising,"A seasoned American traveler planning a trip to Italy, eager to immerse themselves in the local culture but anxious about potential cultural misunderstandings and the impact of cultural differences on their daily life","I'm gearing up for my first trip to Italy, and I'm super excited about the food, the art, and the whole experience. But I've heard that living in a new place can be a bit of a challenge. I'm all for embracing local customs, but I'm also worried about feeling out of place or making a faux pas. How can I prepare myself for the cultural differences I might encounter, so I can make the most of my trip without feeling overwhelmed?"
American,"in daily hygiene, particularly in the shower",,,people,"prefer using various cleaning tools like sponges, loofahs, washcloths, and hands, with a preference for hands over soap alone",,,"advised to shower 2-3 times a week, use lotion quickly, and change sponges often",Health and Hygiene,1.0,"[130, 140)","{2021: '[0, 10)', 2022: '[120, 130)', 2023: '[0, 10)'}","In American daily hygiene practices, particularly in the shower, it is common for people to prefer using various cleaning tools such as sponges, loofahs, washcloths, and their hands, with a preference for hands over using soap alone. Additionally, individuals are advised to shower 2-3 times a week, use lotion quickly after showering, and change sponges often. This approach to showering and hygiene is widely regarded as the standard or normative behavior within the sampled population.",Travel Advising,"A European traveler planning a trip to the United States, eager to blend in and respect local customs",I'm gearing up for a long-awaited trip to the U.S. and I want to make sure I'm not sticking out like a sore thumb. I've heard that Americans have their own unique ways of keeping clean. Could you give me some tips on what to expect and how to fit in when it comes to showering and personal hygiene? I want to be mindful of their customs and not offend anyone unintentionally.
American,in a workplace,to ask questions and engage in conversation,employee to staff,new employees,initiate conversations with colleagues through inquisitive questions,Cole's staff,,,Communication and Language,0.8,"[130, 140)","{2021: '[120, 130)', 2022: '[0, 10)', 2023: '[0, 10)'}","In American workplaces, it is common for new employees to initiate conversations with their colleagues by asking inquisitive questions as a way to engage in conversation and build rapport with the staff. This behavior is considered a normative practice by a significant portion of the sampled population. It reflects the cultural value placed on communication, teamwork, and establishing connections within the workplace. This proactive approach to interaction aligns with the American emphasis on open communication and collaboration, contributing to a positive and inclusive work environment.",Workplace Integration,"A recent immigrant to the US who has just started a new job, eager to make a good impression and build strong relationships with their colleagues","I just started my dream job here in the US, and I'm really excited to get to know my new team. I've noticed that people seem to be really open and friendly, but I'm not sure how to approach them without being too pushy or intrusive. Could you give me some tips on how to strike the right balance between being curious and respectful, especially when it comes to getting to know my colleagues' backgrounds and experiences?"
American,"in the United States, particularly in households",,,people,"use kettles for boiling water, with some using electric kettles and others filtering water first",,,"unfamiliarity and voltage differences exist, with some putting kettles in the microwave",Household and Daily Life,0.9,"[130, 140)","{2021: '[30, 40)', 2022: '[30, 40)', 2023: '[50, 60)'}","In the United States, particularly in households, it is common for people to use kettles for boiling water, with variations such as electric kettles and the practice of filtering water before boiling. However, unfamiliarity with kettles and differences in voltage exist, leading some individuals to resort to putting kettles in the microwave for boiling water. This behavior is widely regarded as a standard practice within the sampled population, with the use of kettles being a normative aspect of American household culture.",Travel Advising,"A European tourist planning their first trip to the United States, particularly interested in understanding everyday life and behaviors in American households","I'm gearing up for my first visit to the U.S. and I'm really curious about how people go about their daily routines in American households. For instance, I've heard that a lot of folks boil water for tea or coffee, but I'm not sure if there's a particular method or appliance they usually use. Could you give me some tips on what to expect and how to blend in when it comes to these simple, yet essential, daily tasks?"
American,in the United States,,,"people, especially children","consume and enjoy peanut butter, often in sandwiches or as a healthy snack",,,peanut butter is considered a staple food and is often associated with American culture,Cultural Exchange,0.9,"[130, 140)","{2021: '[0, 10)', 2022: '[80, 90)', 2023: '[40, 50)'}","In the United States, especially among children, it is common to consume and enjoy peanut butter, often in the form of sandwiches or as a healthy snack. Peanut butter is considered a staple food and is closely associated with American culture. It is widely regarded as a normative behavior within the sampled population, with a significant portion agreeing that it is a prevalent and customary practice.",Travel Advising,"A health-conscious and adventurous foodie from Europe, planning a trip to the USA for the first time, looking to explore the local cuisine but also concerned about their dietary preferences and restrictions","I'm planning my first trip to the USA, and I've heard that the food there is quite diverse and delicious. I'm a bit of a health nut, and I'm wondering if there are any classic American foods or snacks that I could try that are both tasty and good for me. I'm a bit picky when it comes to what I eat, so I'm looking for something that's widely enjoyed and not too exotic. Any recommendations?"
American,in the United States and occasionally in Europe,,,people,"preference for using dryers, with a high adoption rate and occasional resistance due to cost or environmental concerns",,,"dryers are considered essential, but their use is less common in Europe",Household and Daily Life,0.9,"[120, 130)","{2021: '[40, 50)', 2022: '[50, 60)', 2023: '[30, 40)'}","In the United States and occasionally in Europe, it is common for people to prefer using dryers for laundry, with a high adoption rate. However, there is occasional resistance to this practice, often due to concerns about cost or the environment. Dryers are generally considered essential in the American cultural context, but their use is less common in Europe, reflecting regional differences in laundry practices. The widespread preference for using dryers is widely regarded as a normative behavior within the sampled population, indicating a high level of acceptance and adoption.",Travel Advising,A budget-conscious and environmentally-minded European traveler planning a trip to the United States for the first time,"I'm planning my first trip to the States and I'm a bit worried about the cost of laundry services. I've heard that dryers are really common there, but I'm concerned about the environmental impact. How can I balance my desire to be eco-friendly with the practicality of traveling? Are there any tips for managing laundry on a budget while still respecting local customs?"
American,in schools and public spaces,,,students and people,"engage in the Pledge of Allegiance, often daily, as a symbolic act of patriotism",,,"considered a daily ritual, sometimes perceived as cult-like or weird",Cultural Traditions and Festivals,0.8,"[120, 130)","{2021: '[10, 20)', 2022: '[100, 110)', 2023: '[10, 20)'}","In American schools and public spaces, it is common for students and people to engage in the Pledge of Allegiance as a symbolic display of patriotism, often on a daily basis. This act is considered a daily ritual and is widely regarded as a normative behavior within the sampled population. However, it is worth noting that some individuals perceive this practice as cult-like or peculiar. Despite this perception, the majority of the sampled population views the Pledge of Allegiance as a customary and patriotic act.",Travel Advising,"A foreign student planning a semester abroad in the United States, curious about daily life in American schools","I've been accepted into a high school in the US for a semester exchange, and I'm super excited about it. I've heard that there are some daily rituals that students and even adults do in public places. Could you tell me what these are, and if there's anything I should know or prepare for before I get there?"
American,"in the United States, particularly in the workplace",to provide and receive vacation time as part of compensation or work-life balance,employer to employee and vice versa,employers and employees,"offer and take vacation time, with varying durations from 3 to 6 weeks",employees and employers respectively,receive and provide vacation time,,Work-Life Balance,0.9,"[120, 130)","{2021: '[40, 50)', 2022: '[30, 40)', 2023: '[40, 50)'}","In the United States, particularly in the workplace, it is common for employers and employees to engage in the practice of offering and taking vacation time, with durations typically ranging from 3 to 6 weeks. This behavior is aimed at providing and receiving vacation time as part of compensation or to maintain a healthy work-life balance. Both employers and employees participate in this exchange, with the former offering and the latter receiving vacation time. This practice is widely regarded as a standard and prevalent aspect of the American work culture, with a significant portion of the sampled population agreeing that it is a normative behavior within the workplace.",Travel Advising,"A hardworking and dedicated professional from Europe, planning a business trip to the US for the first time, eager to make a good impression but unsure about the work-life balance in American companies","I'm gearing up for my first business trip to the US, and I've heard that American companies are quite competitive. I'm used to working long hours, but I'm also curious about how they handle time off and vacations. Could you give me some tips on how to navigate the work culture there without overdoing it? Should I expect my American colleagues to take a lot of time off, and how should I approach scheduling meetings and workload during my stay?"
American,in the United States,,,people,"use the term 'lemonade' to refer to a variety of fizzy and non-fizzy drinks, often adding lemon or lemon flavoring",,,confusion arises from the diverse interpretations of the term 'lemonade',Cultural Traditions and Festivals,1.0,"[120, 130)","{2021: '[30, 40)', 2022: '[80, 90)', 2023: '[0, 10)'}","In the United States, it is common for people to use the term ""lemonade"" to refer to a wide range of beverages, both fizzy and non-fizzy, often incorporating lemon or lemon flavoring. This diverse interpretation of the term can lead to confusion among individuals, as the meaning of ""lemonade"" varies across different regions and contexts. Despite this variability, the usage of the term ""lemonade"" to encompass a variety of drinks is widely regarded as a normative behavior within the sampled population.",Travel Advising,"A curious and adventurous Australian foodie planning a trip to the United States, eager to explore the local culinary scene but concerned about potential confusion when ordering beverages","I'm heading to the US for a food tour and I've heard that Americans have a unique way of describing beverages. I'm a big fan of lemon-flavored drinks, but I'm worried I might end up with something unexpected. Can you give me some tips on how to navigate the menu and make sure I get exactly what I'm craving?"
American,in the United States and the workplace,achieve balance and fair treatment,employee to employer,people and employees,"strive for work-life balance, often expressing dissatisfaction with overwork and seeking fair compensation",employers,hire and respect work-life balance,"struggling to balance work and life, with some expressing gratitude for the opportunity to work",Work-Life Balance,0.8,"[120, 130)","{2021: '[0, 10)', 2022: '[50, 60)', 2023: '[70, 80)'}","In the United States, particularly in the workplace, employees actively strive for a work-life balance and fair compensation, expressing dissatisfaction with overwork. This behavior reflects their goal of achieving equilibrium between professional and personal life while seeking fair treatment from employers. Employers, in response, are described as hiring and respecting the need for work-life balance. However, there is a struggle to maintain this balance, with some individuals expressing gratitude for the opportunity to work despite the challenges. This pursuit of work-life balance and fair compensation is widely regarded as a common and expected behavior among a significant portion of the sampled population in the United States.",Workplace Integration,"A newly immigrated professional from Europe, eager to adapt to the American work culture but concerned about the balance between work and personal life","I'm new to the American workforce and I've noticed that people here are really dedicated to their jobs. I'm used to working hard, but I also value my personal time. How can I navigate this new work environment without feeling overwhelmed or neglecting my personal life?"
American,"in the United States, particularly in stores and pharmacies",,,people,"purchase and consume tobacco products, including cigarettes, through vending machines and over-the-counter sales",,,cigarettes are often associated with irony due to their sale in health-related establishments,Drinking and Alcohol,0.8,"[120, 130)","{2021: '[20, 30)', 2022: '[90, 100)', 2023: '[0, 10)'}","In the United States, particularly in stores and pharmacies, it is common for people to purchase and consume tobacco products, such as cigarettes, through vending machines and over-the-counter sales. This behavior is prevalent and widely accepted within the sampled population. Interestingly, the sale of cigarettes in health-related establishments adds an ironic element to the cultural perception of this practice. While this behavior is considered normative by a significant portion of the sampled population, it is also a subject of irony due to its association with health-related settings.",Travel Advising,"A health-conscious traveler from abroad, planning a trip to the United States for the first time, particularly concerned about the impact of local habits on their well-being.","I'm a bit worried about my health during my upcoming trip to the U.S., especially since I've heard it's pretty common to find all sorts of things at pharmacies. I'm trying to stay on track with my wellness goals, so I'm curious, what should I expect when it comes to shopping for everyday items in American pharmacies? Are there any surprises I should be prepared for?"
American,"in the United States, including public and informal settings",,,people,"engage in greetings with both 'hello' and 'hi', sometimes accompanied by a smile or eye contact, and may also greet strangers",,,greetings may be followed by a 'look at me crazy' response,Social Norms and Etiquette,0.8,"[120, 130)","{2021: '[10, 20)', 2022: '[60, 70)', 2023: '[40, 50)'}","In the United States, people commonly engage in greetings using both ""hello"" and ""hi"" in various public and informal settings, often accompanied by a smile or eye contact. It is also typical for individuals to extend these greetings to strangers. However, it is noted that these greetings may sometimes elicit a response of being looked at in a perplexed or incredulous manner. Despite this occasional reaction, the act of using these greetings is widely regarded as a normative behavior within the sampled population.",Travel Advising,"A globetrotting consultant from Europe, planning a business trip to the US for the first time, eager to make a good impression and navigate the local social norms confidently","I'm preparing for my first trip to the US for a business meeting, and I want to make sure I'm not stepping on any toes when it comes to greetings. I've heard that Americans can be quite friendly, but I've also heard that some people might not appreciate a stranger coming up to them. Could you give me some tips on how to strike the right balance when meeting new people in a professional setting?"
